id;active;type;name;externalId;epgProvider;epgProviderId;mdbMatchTags;enableImageGenerator;order;lcn;testing;public;availability;fsAvailability;parentLock;malfunction;timeshiftDuration;timeshiftAvailable;timeshiftBeforeEvent;timeshiftAfterEvent;drm;directAccess;audio;message;channelGroup;description;hd;hack;dvbMrl;tags;epgLang;useStreamServer;freeSeekSeconds;freeSeekStartOver;freeSeekPvr;epgAllowedTypes;parallelStreamGroup
1_BASEBALL_NETWORK;1;tv;1 BASEBALL NETWORK HD;BYMSPORT_stream_nu;14;8802;,movie,dummyShow,dummySeries,;1;156;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
1_BASEBALL_NETWORK_NETUNO;1;tv;1 BASEBALL NETWORK;ONE_BASEBALL_HD_stream_8v;14;8802;,movie,dummyShow,dummySeries,;1;223;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
24HORAS;1;tv;24 HORAS;24HORAS_stream_jy;14;281;,movie,dummyShow,dummySeries,;1;116;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Internacionales;;1;;\N;1440,DRM;es;1;0;0;0;;1
A3CINE;1;tv;A3CINE HD;A3CINE_stream_lb;14;3627;,movie,dummyShow,dummySeries,;1;128;\N;0;1;NetUno;\N;0;\N;4320;4320;1;2;1;0;spa;\N;Series;;1;;\N;DRM,4320;es;1;0;0;0;;1
A3SERIES;1;tv;A3 SERIES HD;A3SERIES_stream_ps;14;3149;,movie,dummyShow,dummySeries,;1;130;\N;0;1;NetUno;\N;0;\N;4320;4320;1;2;1;0;\N;\N;Peliculas;;1;;\N;DRM,4320;es;1;0;0;0;;1
ADRENALINA_SPORT;1;tv;ADRENALINA SPORTS NETWORK HD;ADRENALINA_SPORT_stream_i0;14;2793;,movie,dummyShow,dummySeries,;1;180;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
AGROTENDENCIATV;1;tv;AGROTENDENCIA TV FHD;AGROTENDENCIATV_stream_ak;14;2280;,movie,dummyShow,dummySeries,;1;78;114;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Internacionales;;1;;\N;1440,DRM;es;1;0;0;0;;1
AMC;1;tv;AMC FHD;AMC_stream_49;14;1362;,movie,dummyShow,dummySeries,;1;51;80;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Internacionales;;1;;\N;1440,DRM;es;1;0;0;0;;1
AMC_HD_INTER;1;tv;AMC HD;AMC_HD_INTER_stream_f9;14;1362;,movie,dummyShow,dummySeries,;1;201;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Internacionales;;1;;\N;1440,DRM;es;1;0;0;0;;1
ANIMALPLANET;1;tv;ANIMAL PLANET;ANIMALPLANET_stream_lr;14;2932;,movie,dummyShow,dummySeries,;1;71;108;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Documentales;;0;;\N;1440,DRM;es;1;0;0;0;;1
